"","tid","forbruk"
"1",2019-01-14 00:00:00,0.338
"2",2019-01-14 01:00:00,1.047
"3",2019-01-14 02:00:00,0.327
"4",2019-01-14 03:00:00,1.475
"5",2019-01-14 04:00:00,2.791
"6",2019-01-14 05:00:00,3.286
"7",2019-01-14 06:00:00,2.109
"8",2019-01-14 07:00:00,1.98
"9",2019-01-14 08:00:00,1.563
"10",2019-01-14 09:00:00,2.014
"11",2019-01-14 10:00:00,0.928
"12",2019-01-14 11:00:00,0.178
"13",2019-01-14 12:00:00,0.269
"14",2019-01-14 13:00:00,2.42
"15",2019-01-14 14:00:00,3.306
"16",2019-01-14 15:00:00,1.712
"17",2019-01-14 16:00:00,0.235
"18",2019-01-14 17:00:00,0.739
"19",2019-01-14 18:00:00,1.127
"20",2019-01-14 19:00:00,0.456
"21",2019-01-14 20:00:00,2.2
"22",2019-01-14 21:00:00,1.382
"23",2019-01-14 22:00:00,0.339
"24",2019-01-14 23:00:00,1.502
"25",2019-01-15 00:00:00,0.308
"26",2019-01-15 01:00:00,1.722
"27",2019-01-15 02:00:00,1.475
"28",2019-01-15 03:00:00,1.482
"29",2019-01-15 04:00:00,2.217
"30",2019-01-15 05:00:00,0.99
"31",2019-01-15 06:00:00,0.125
"32",2019-01-15 07:00:00,0.124
"33",2019-01-15 08:00:00,0.24
"34",2019-01-15 09:00:00,0.233
"35",2019-01-15 10:00:00,0.364
"36",2019-01-15 11:00:00,1.597
"37",2019-01-15 12:00:00,2.005
"38",2019-01-15 13:00:00,1.991
"39",2019-01-15 14:00:00,0.209
"40",2019-01-15 15:00:00,2.231
"41",2019-01-15 16:00:00,2.629
"42",2019-01-15 17:00:00,1.564
"43",2019-01-15 18:00:00,2.27
"44",2019-01-15 19:00:00,1.797
"45",2019-01-15 20:00:00,3.554
"46",2019-01-15 21:00:00,3.033
"47",2019-01-15 22:00:00,1.64
"48",2019-01-15 23:00:00,2.13
"49",2019-01-16 00:00:00,4.555
"50",2019-01-16 01:00:00,3.554
"51",2019-01-16 02:00:00,3.192
"52",2019-01-16 03:00:00,1.472
"53",2019-01-16 04:00:00,0.564
"54",2019-01-16 05:00:00,0.172
"55",2019-01-16 06:00:00,0.132
"56",2019-01-16 07:00:00,0.71
"57",2019-01-16 08:00:00,0.349
"58",2019-01-16 09:00:00,0.118
"59",2019-01-16 10:00:00,0.116
"60",2019-01-16 11:00:00,0.114
"61",2019-01-16 12:00:00,0.114
"62",2019-01-16 13:00:00,1.783
"63",2019-01-16 14:00:00,2.838
"64",2019-01-16 15:00:00,3.147
"65",2019-01-16 16:00:00,1.945
"66",2019-01-16 17:00:00,1.953
"67",2019-01-16 18:00:00,2.028
"68",2019-01-16 19:00:00,4.478
"69",2019-01-16 20:00:00,3.169
"70",2019-01-16 21:00:00,2.629
"71",2019-01-16 22:00:00,1.999
"72",2019-01-16 23:00:00,1.732
"73",2019-01-17 00:00:00,2.116
"74",2019-01-17 01:00:00,2.07
"75",2019-01-17 02:00:00,0.564
"76",2019-01-17 03:00:00,0.129
"77",2019-01-17 04:00:00,0.127
"78",2019-01-17 05:00:00,0.178
"79",2019-01-17 06:00:00,0.141
"80",2019-01-17 07:00:00,0.753
"81",2019-01-17 08:00:00,1.897
"82",2019-01-17 09:00:00,4.505
"83",2019-01-17 10:00:00,4.505
"84",2019-01-17 11:00:00,4.462
"85",2019-01-17 12:00:00,5.141
"86",2019-01-17 13:00:00,4.192
"87",2019-01-17 14:00:00,3.502
"88",2019-01-17 15:00:00,3.532
"89",2019-01-17 16:00:00,2.168
"90",2019-01-17 17:00:00,0.738
"91",2019-01-17 18:00:00,2.093
"92",2019-01-17 19:00:00,2.727
"93",2019-01-17 20:00:00,4.587
"94",2019-01-17 21:00:00,1.603
"95",2019-01-17 22:00:00,2.826
"96",2019-01-17 23:00:00,1.922
"97",2019-01-18 00:00:00,0.21
"98",2019-01-18 01:00:00,0.15
"99",2019-01-18 02:00:00,0.162
"100",2019-01-18 03:00:00,0.132
"101",2019-01-18 04:00:00,0.119
"102",2019-01-18 05:00:00,0.79
"103",2019-01-18 06:00:00,0.119
"104",2019-01-18 07:00:00,1.235
"105",2019-01-18 08:00:00,0.81
"106",2019-01-18 09:00:00,4.672
"107",2019-01-18 10:00:00,4.252
"108",2019-01-18 11:00:00,3.286
"109",2019-01-18 12:00:00,2.125
"110",2019-01-18 13:00:00,1.774
"111",2019-01-18 14:00:00,0.246
"112",2019-01-18 15:00:00,1.313
"113",2019-01-18 16:00:00,0.437
"114",2019-01-18 17:00:00,0.639
"115",2019-01-18 18:00:00,0.296
"116",2019-01-18 19:00:00,1.022
"117",2019-01-18 20:00:00,0.27
"118",2019-01-18 21:00:00,0.584
"119",2019-01-18 22:00:00,2.683
"120",2019-01-18 23:00:00,0.969
"121",2019-01-19 00:00:00,0.448
"122",2019-01-19 01:00:00,0.852
"123",2019-01-19 02:00:00,1.852
"124",2019-01-19 03:00:00,1.561
"125",2019-01-19 04:00:00,1.483
"126",2019-01-19 05:00:00,1.674
"127",2019-01-19 06:00:00,1.751
"128",2019-01-19 07:00:00,0.133
"129",2019-01-19 08:00:00,0.124
"130",2019-01-19 09:00:00,0.124
"131",2019-01-19 10:00:00,0.353
"132",2019-01-19 11:00:00,0.125
"133",2019-01-19 12:00:00,0.846
"134",2019-01-19 13:00:00,0.259
"135",2019-01-19 14:00:00,0.909
"136",2019-01-19 15:00:00,3.151
"137",2019-01-19 16:00:00,2.646
"138",2019-01-19 17:00:00,1.614
"139",2019-01-19 18:00:00,4.557
"140",2019-01-19 19:00:00,3.457
"141",2019-01-19 20:00:00,3.348
"142",2019-01-19 21:00:00,3.391
"143",2019-01-19 22:00:00,1.278
"144",2019-01-19 23:00:00,2.92
"145",2019-01-20 00:00:00,2.257
"146",2019-01-20 01:00:00,1.205
"147",2019-01-20 02:00:00,1.34
"148",2019-01-20 03:00:00,1.597
"149",2019-01-20 04:00:00,1.593
"150",2019-01-20 05:00:00,1.601
"151",2019-01-20 06:00:00,1.849
"152",2019-01-20 07:00:00,0.297
"153",2019-01-20 08:00:00,0.273
"154",2019-01-20 09:00:00,0.305
"155",2019-01-20 10:00:00,0.313
"156",2019-01-20 11:00:00,0.868
"157",2019-01-20 12:00:00,1.794
"158",2019-01-20 13:00:00,1.959
"159",2019-01-20 14:00:00,2.963
"160",2019-01-20 15:00:00,3.46
"161",2019-01-20 16:00:00,3.119
"162",2019-01-20 17:00:00,1.664
"163",2019-01-20 18:00:00,2.179
"164",2019-01-20 19:00:00,1.837
"165",2019-01-20 20:00:00,1.586
"166",2019-01-20 21:00:00,2.826
"167",2019-01-20 22:00:00,3.366
"168",2019-01-20 23:00:00,3.011
"169",2019-01-21 00:00:00,2.264
"170",2019-01-21 01:00:00,2.003
"171",2019-01-21 02:00:00,0.236
"172",2019-01-21 03:00:00,0.228
"173",2019-01-21 04:00:00,0.229
"174",2019-01-21 05:00:00,0.227
"175",2019-01-21 06:00:00,0.658
"176",2019-01-21 07:00:00,0.598
"177",2019-01-21 08:00:00,1.796
"178",2019-01-21 09:00:00,4.701
"179",2019-01-21 10:00:00,2.066
"180",2019-01-21 11:00:00,2.081
"181",2019-01-21 12:00:00,2.063
"182",2019-01-21 13:00:00,0.459
"183",2019-01-21 14:00:00,0.21
"184",2019-01-21 15:00:00,0.212
"185",2019-01-21 16:00:00,0.214
"186",2019-01-21 17:00:00,0.212
"187",2019-01-21 18:00:00,0.933
"188",2019-01-21 19:00:00,0.286
"189",2019-01-21 20:00:00,2.06
"190",2019-01-21 21:00:00,1.646
"191",2019-01-21 22:00:00,2.379
"192",2019-01-21 23:00:00,2.087
"193",2019-01-22 00:00:00,2.602
"194",2019-01-22 01:00:00,3.685
"195",2019-01-22 02:00:00,1.763
"196",2019-01-22 03:00:00,1.57
"197",2019-01-22 04:00:00,2.481
"198",2019-01-22 05:00:00,1.909
"199",2019-01-22 06:00:00,2.402
"200",2019-01-22 07:00:00,0.517
"201",2019-01-22 08:00:00,0.194
"202",2019-01-22 09:00:00,0.228
"203",2019-01-22 10:00:00,1.251
"204",2019-01-22 11:00:00,2.306
"205",2019-01-22 12:00:00,1.994
"206",2019-01-22 13:00:00,0.794
"207",2019-01-22 14:00:00,2.042
"208",2019-01-22 15:00:00,2.3
"209",2019-01-22 16:00:00,4.411
"210",2019-01-22 17:00:00,4.458
"211",2019-01-22 18:00:00,6.303
"212",2019-01-22 19:00:00,6.02
"213",2019-01-22 20:00:00,4.688
"214",2019-01-22 21:00:00,3.394
"215",2019-01-22 22:00:00,3.385
"216",2019-01-22 23:00:00,3.361
"217",2019-01-23 00:00:00,2.546
"218",2019-01-23 01:00:00,3.223
"219",2019-01-23 02:00:00,2.604
"220",2019-01-23 03:00:00,1.36
"221",2019-01-23 04:00:00,1.333
"222",2019-01-23 05:00:00,1.312
"223",2019-01-23 06:00:00,1.319
"224",2019-01-23 07:00:00,1.497
"225",2019-01-23 08:00:00,1.854
"226",2019-01-23 09:00:00,1.35
"227",2019-01-23 10:00:00,1.334
"228",2019-01-23 11:00:00,1.473
"229",2019-01-23 12:00:00,2.404
"230",2019-01-23 13:00:00,1.363
"231",2019-01-23 14:00:00,3.239
"232",2019-01-23 15:00:00,2.969
"233",2019-01-23 16:00:00,2.583
"234",2019-01-23 17:00:00,3.171
"235",2019-01-23 18:00:00,4.813
"236",2019-01-23 19:00:00,4.961
"237",2019-01-23 20:00:00,2.669
"238",2019-01-23 21:00:00,4.352
"239",2019-01-23 22:00:00,2.289
"240",2019-01-23 23:00:00,1.374
"241",2019-01-24 00:00:00,1.671
"242",2019-01-24 01:00:00,1.957
"243",2019-01-24 02:00:00,1.321
"244",2019-01-24 03:00:00,1.318
"245",2019-01-24 04:00:00,1.312
"246",2019-01-24 05:00:00,1.325
"247",2019-01-24 06:00:00,2.024
"248",2019-01-24 07:00:00,1.309
"249",2019-01-24 08:00:00,4.603
"250",2019-01-24 09:00:00,3.87
"251",2019-01-24 10:00:00,3.44
"252",2019-01-24 11:00:00,4.408
"253",2019-01-24 12:00:00,4.241
"254",2019-01-24 13:00:00,0.593
"255",2019-01-24 14:00:00,0.105
"256",2019-01-24 15:00:00,0.097
"257",2019-01-24 16:00:00,0.094
"258",2019-01-24 17:00:00,2.252
"259",2019-01-24 18:00:00,2.667
"260",2019-01-24 19:00:00,3.763
"261",2019-01-24 20:00:00,2.659
"262",2019-01-24 21:00:00,2.687
"263",2019-01-24 22:00:00,4.18
"264",2019-01-24 23:00:00,3.406
"265",2019-01-25 00:00:00,3.895
"266",2019-01-25 01:00:00,4.498
"267",2019-01-25 02:00:00,3.549
"268",2019-01-25 03:00:00,2.242
"269",2019-01-25 04:00:00,1.314
"270",2019-01-25 05:00:00,1.316
"271",2019-01-25 06:00:00,1.311
"272",2019-01-25 07:00:00,1.305
"273",2019-01-25 08:00:00,1.999
"274",2019-01-25 09:00:00,1.316
"275",2019-01-25 10:00:00,1.323
"276",2019-01-25 11:00:00,1.316
"277",2019-01-25 12:00:00,2.764
"278",2019-01-25 13:00:00,2.59
"279",2019-01-25 14:00:00,3.658
"280",2019-01-25 15:00:00,3.844
"281",2019-01-25 16:00:00,3.187
"282",2019-01-25 17:00:00,2.617
"283",2019-01-25 18:00:00,4.426
"284",2019-01-25 19:00:00,4.366
"285",2019-01-25 20:00:00,1.772
"286",2019-01-25 21:00:00,3.778
"287",2019-01-25 22:00:00,3.072
"288",2019-01-25 23:00:00,2.094
"289",2019-01-26 00:00:00,3.863
"290",2019-01-26 01:00:00,1.619
"291",2019-01-26 02:00:00,1.543
"292",2019-01-26 03:00:00,0.996
"293",2019-01-26 04:00:00,0.165
"294",2019-01-26 05:00:00,0.935
"295",2019-01-26 06:00:00,0.14
"296",2019-01-26 07:00:00,0.139
"297",2019-01-26 08:00:00,0.139
"298",2019-01-26 09:00:00,0.138
"299",2019-01-26 10:00:00,0.36
"300",2019-01-26 11:00:00,2.5
"301",2019-01-26 12:00:00,3.284
"302",2019-01-26 13:00:00,1.943
"303",2019-01-26 14:00:00,2.049
"304",2019-01-26 15:00:00,4.219
"305",2019-01-26 16:00:00,4.473
"306",2019-01-26 17:00:00,3.031
"307",2019-01-26 18:00:00,2.918
"308",2019-01-26 19:00:00,3.474
"309",2019-01-26 20:00:00,2.665
"310",2019-01-26 21:00:00,2.904
"311",2019-01-26 22:00:00,2.693
"312",2019-01-26 23:00:00,3.254
"313",2019-01-27 00:00:00,3.327
"314",2019-01-27 01:00:00,3.266
"315",2019-01-27 02:00:00,3.076
"316",2019-01-27 03:00:00,3.353
"317",2019-01-27 04:00:00,1.585
"318",2019-01-27 05:00:00,2.206
"319",2019-01-27 06:00:00,1.461
"320",2019-01-27 07:00:00,1.025
"321",2019-01-27 08:00:00,0.141
"322",2019-01-27 09:00:00,0.118
"323",2019-01-27 10:00:00,0.185
"324",2019-01-27 11:00:00,1.741
"325",2019-01-27 12:00:00,1.965
"326",2019-01-27 13:00:00,0.847
"327",2019-01-27 14:00:00,1.323
"328",2019-01-27 15:00:00,3.069
"329",2019-01-27 16:00:00,2.575
"330",2019-01-27 17:00:00,2.395
"331",2019-01-27 18:00:00,4.124
"332",2019-01-27 19:00:00,3.788
"333",2019-01-27 20:00:00,5.307
"334",2019-01-27 21:00:00,4.852
